transaction_id,customer_id,purchase_date,purchase_amount
T10211,C1043,2022-08-20,43.58
T10212,C1043,2023-01-01,477.81
T10213,C1043,2023-03-12,149.01
T10214,C1043,2023-01-26,153.17
T10215,C1043,2023-07-17,19.13
T10216,C1044,2024-02-12,107.97
T10217,C1044,2022-12-18,7.12
T10218,C1044,2022-05-18,2.12
T10219,C1044,2023-01-03,343.77
T10220,C1044,2022-08-11,152.55
T10221,C1045,2022-11-25,48.12
T10222,C1045,2023-07-15,29.49
T10223,C1045,2024-04-15,149.0
T10224,C1045,2022-06-18,321.45
T10225,C1045,2022-04-29,4.29
T10226,C1045,2023-01-05,38.89
T10227,C1045,2023-11-07,34.65
T10228,C1045,2023-05-03,12.1
T10229,C1046,2022-06-09,137.86
T10230,C1046,2022-10-15,95.84
T10231,C1046,2022-08-14,13.71
T10232,C1046,2024-02-22,11.74
T10233,C1046,2023-02-06,25.44
T10234,C1047,2023-05-03,56.58
T10235,C1047,2022-05-04,49.21
T10236,C1047,2023-09-18,286.6
T10237,C1047,2023-02-18,263.55
T10238,C1047,2022-06-21,22.0
T10239,C1047,2023-11-17,1.28
T10240,C1047,2022-05-02,169.25
T10241,C1047,2023-09-23,211.42
T10242,C1047,2024-02-19,251.24
T10243,C1048,2022-05-29,140.67
T10244,C1048,2023-10-23,383.49
T10245,C1049,2022-08-26,149.81
T10246,C1049,2022-08-24,5.54
T10247,C1049,2022-09-13,78.75
T10248,C1049,2022-08-23,31.38
T10249,C1049,2024-05-09,4.41
T10250,C1049,2023-04-11,11.42
T10251,C1049,2022-08-01,129.46
T10252,C1049,2022-10-10,335.61
T10253,C1050,2023-02-11,183.7
T10254,C1050,2023-04-06,53.34
T10255,C1050,2023-02-25,89.24
T10256,C1051,2023-05-30,35.32
T10257,C1051,2022-01-19,16.44
T10258,C1051,2022-01-30,206.61
T10259,C1051,2023-01-02,209.67
T10260,C1051,2022-08-17,17.44
T10261,C1051,2022-12-28,81.65
T10262,C1051,2023-08-07,28.33
T10263,C1051,2022-09-18,213.24
T10264,C1052,2022-04-14,21.56
T10265,C1052,2024-04-11,160.98
T10266,C1052,2023-05-06,37.24
T10267,C1052,2023-02-09,132.08
T10268,C1053,2024-01-01,20.83
T10269,C1053,2022-04-22,153.15
T10270,C1053,2023-05-15,74.27
T10271,C1053,2022-08-22,143.13
T10272,C1053,2023-07-20,178.78
T10273,C1053,2022-01-14,138.45
T10274,C1053,2023-03-13,45.88
T10275,C1054,2024-01-05,36.47
T10276,C1054,2024-04-03,69.73
T10277,C1054,2023-11-29,45.94
T10278,C1055,2022-01-20,151.59
T10279,C1055,2022-08-15,14.83
T10280,C1055,2024-01-12,53.21
T10281,C1055,2024-05-20,0.32
T10282,C1056,2024-02-11,20.01
T10283,C1056,2022-01-20,51.47
T10284,C1056,2023-08-06,65.58
T10285,C1056,2023-06-10,128.52
T10286,C1056,2024-01-11,86.75
T10287,C1056,2022-02-24,121.38
T10288,C1057,2024-02-05,66.67
T10289,C1057,2023-11-01,163.47
T10290,C1057,2022-06-08,2.32
T10291,C1057,2024-03-27,101.2
T10292,C1057,2022-07-30,6.03
T10293,C1057,2022-04-19,137.01
T10294,C1057,2022-11-10,122.99
T10295,C1057,2024-05-17,72.83
T10296,C1058,2022-12-16,39.78
T10297,C1058,2022-07-02,26.9
T10298,C1058,2024-04-10,24.92
T10299,C1058,2024-02-02,161.63
T10300,C1059,2022-04-28,102.88
T10301,C1059,2023-02-05,101.49
T10302,C1059,2023-10-22,154.02
T10303,C1059,2023-02-03,52.75
T10304,C1059,2022-03-19,137.52
T10305,C1059,2024-05-20,84.83
T10306,C1059,2023-02-04,22.68
T10307,C1059,2023-05-15,44.98
T10308,C1059,2022-02-19,18.07
T10309,C1060,2024-05-11,178.2
T10310,C1061,2024-04-28,265.38
T10311,C1061,2023-07-17,282.48
T10312,C1061,2023-03-02,191.55
T10313,C1061,2023-08-04,184.47
T10314,C1061,2022-02-18,57.12
T10315,C1061,2023-12-05,65.97
T10316,C1062,2023-08-25,8.4
T10317,C1062,2024-01-13,234.25
T10318,C1062,2023-10-03,151.51
T10319,C1062,2023-09-04,145.04
T10320,C1062,2022-07-01,25.52
T10321,C1062,2022-12-30,14.54
T10322,C1063,2023-10-26,63.88
T10323,C1063,2023-12-26,7.15
T10324,C1063,2024-05-25,4.56
T10325,C1063,2022-12-08,30.34
T10326,C1064,2022-08-08,154.71
T10327,C1064,2024-04-27,46.4
T10328,C1064,2023-09-10,186.3
T10329,C1065,2023-07-10,17.01
T10330,C1065,2022-08-16,3.42
T10331,C1065,2023-08-19,96.68
T10332,C1065,2024-05-24,14.99
T10333,C1065,2022-07-15,37.86
T10334,C1065,2023-06-03,9.04
T10335,C1066,2023-11-03,109.0
T10336,C1066,2022-05-28,13.7
T10337,C1067,2023-03-02,175.95
T10338,C1067,2022-05-22,131.24
T10339,C1067,2022-11-10,388.98
T10340,C1067,2023-08-04,106.18
T10341,C1067,2023-12-31,21.22
T10342,C1067,2022-11-01,62.35
T10343,C1067,2024-05-06,293.81
T10344,C1068,2023-03-21,12.11
T10345,C1068,2022-06-27,127.3
T10346,C1068,2023-05-05,9.3
T10347,C1068,2023-08-21,82.38
T10348,C1068,2023-08-16,393.82
T10349,C1068,2023-07-27,196.71
T10350,C1068,2022-02-12,7.01
T10351,C1068,2023-08-21,79.59
T10352,C1068,2023-09-02,8.53
T10353,C1069,2023-09-02,66.3
T10354,C1069,2024-05-02,15.19
T10355,C1069,2022-01-22,189.7
T10356,C1069,2022-03-07,10.27
T10357,C1069,2022-05-24,53.06
T10358,C1069,2023-09-29,138.34
T10359,C1070,2022-10-21,164.2
T10360,C1070,2023-10-12,381.95
T10361,C1070,2022-08-31,154.31
T10362,C1070,2022-02-01,29.92
T10363,C1070,2023-06-16,78.71
T10364,C1070,2022-03-09,141.37
T10365,C1070,2022-08-02,1.81
T10366,C1070,2024-01-14,210.23
T10367,C1071,2023-09-20,204.47
T10368,C1071,2023-01-16,60.01
T10369,C1071,2022-02-27,138.92
T10370,C1071,2023-03-23,80.41
T10371,C1071,2024-01-30,62.35
T10372,C1071,2022-02-13,77.37
T10373,C1072,2022-08-15,11.15
T10374,C1072,2023-03-12,60.09
T10375,C1072,2023-01-14,47.87
T10376,C1072,2023-12-10,333.76
T10377,C1073,2022-09-25,74.09
T10378,C1073,2023-05-23,157.43
T10379,C1073,2022-06-13,32.36
T10380,C1073,2022-03-13,159.91
T10381,C1073,2023-07-13,21.8
T10382,C1073,2022-08-26,76.15
T10383,C1073,2023-07-08,59.35
T10384,C1073,2023-03-30,157.63
T10385,C1074,2024-04-27,194.62
T10386,C1074,2022-09-16,227.48
T10387,C1074,2024-05-24,410.57
T10388,C1074,2022-08-08,22.57
T10389,C1074,2023-06-04,224.42
T10390,C1074,2023-11-19,16.5
T10391,C1074,2022-09-17,160.24
T10392,C1075,2024-02-26,214.06
T10393,C1075,2023-06-08,134.6
T10394,C1075,2022-01-16,445.81
T10395,C1075,2022-04-19,414.21
T10396,C1075,2023-06-17,129.17
T10397,C1075,2022-06-11,18.15
T10398,C1076,2023-05-21,55.77
T10399,C1076,2022-09-04,13.91
T10400,C1076,2024-04-16,82.04
T10401,C1076,2022-12-19,2.98
T10402,C1076,2023-10-28,8.27
T10403,C1076,2023-10-07,362.9
T10404,C1077,2023-01-07,250.36
T10405,C1077,2023-10-08,123.87
T10406,C1077,2023-01-12,63.71
T10407,C1077,2022-12-30,61.48
T10408,C1077,2023-12-26,29.35
T10409,C1077,2022-05-11,211.88
T10410,C1077,2024-03-08,19.09
T10411,C1077,2022-10-04,11.98
T10412,C1077,2022-08-06,10.61
T10413,C1078,2023-11-06,15.31
T10414,C1078,2022-02-10,134.58
T10415,C1078,2022-12-04,138.16
T10416,C1078,2022-10-06,97.0
T10417,C1078,2023-10-24,133.97
T10418,C1079,2022-10-16,13.5
T10419,C1079,2022-09-29,11.24
T10420,C1079,2023-04-28,115.94
T10421,C1080,2023-03-30,193.61
T10422,C1080,2022-05-04,479.66
T10423,C1080,2024-01-29,32.75
T10424,C1080,2022-07-10,41.61
T10425,C1080,2023-03-18,71.88
T10426,C1080,2024-03-16,44.69
T10427,C1080,2023-06-17,3.38
T10428,C1081,2022-10-29,142.4
T10429,C1081,2023-04-05,26.5
T10430,C1081,2023-01-28,155.33
T10431,C1081,2024-04-24,229.11
T10432,C1081,2022-04-25,237.73
T10433,C1082,2023-03-19,11.76
T10434,C1082,2023-07-12,61.68
T10435,C1082,2023-09-04,48.06
T10436,C1082,2023-12-03,47.87
T10437,C1082,2023-06-26,162.13
T10438,C1082,2023-05-22,54.91
T10439,C1082,2022-10-08,54.72
T10440,C1083,2023-09-06,32.86
T10441,C1083,2022-03-24,360.37
T10442,C1083,2023-03-02,120.17
T10443,C1083,2022-10-11,1.82
T10444,C1083,2022-11-23,97.11
T10445,C1083,2022-03-14,36.35
T10446,C1083,2023-01-10,76.07
T10447,C1083,2024-02-26,206.16
T10448,C1083,2023-02-02,24.65
T10449,C1083,2023-03-13,77.8
T10450,C1084,2023-04-10,27.69
T10451,C1084,2022-11-16,83.74
T10452,C1084,2024-03-30,35.85
T10453,C1084,2022-07-22,7.71
T10454,C1084,2022-11-30,135.94
T10455,C1084,2023-12-09,6.67
T10456,C1084,2024-02-15,209.77
T10457,C1084,2023-09-29,89.95
T10458,C1085,2023-09-24,20.5
T10459,C1085,2023-11-26,75.78
T10460,C1085,2022-03-03,158.27
T10461,C1085,2023-11-01,56.07
T10462,C1085,2024-02-18,538.99
T10463,C1085,2023-07-16,85.18
T10464,C1085,2023-10-23,6.58
T10465,C1085,2022-10-03,24.88
T10466,C1085,2023-11-15,12.21
T10467,C1086,2023-03-21,3.32
T10468,C1086,2022-02-04,176.78
T10469,C1086,2023-12-29,311.96
T10470,C1086,2022-01-08,72.87
T10471,C1086,2023-03-07,8.58
T10472,C1086,2023-03-14,57.02
T10473,C1086,2023-07-13,14.79
T10474,C1086,2023-10-21,223.05
T10475,C1086,2023-08-28,18.7
T10476,C1087,2024-03-29,58.92
T10477,C1087,2023-05-20,121.28
T10478,C1087,2022-05-12,112.83
T10479,C1087,2022-12-14,11.01
T10480,C1087,2023-02-10,154.53
T10481,C1088,2024-05-03,30.47
T10482,C1088,2022-06-11,64.04
T10483,C1088,2022-12-27,70.58
T10484,C1089,2022-09-19,222.08
T10485,C1089,2023-12-23,44.92
T10486,C1089,2024-02-19,92.65
T10487,C1089,2022-10-10,15.09
T10488,C1089,2023-01-15,63.42
T10489,C1089,2023-03-17,40.25
T10490,C1089,2024-01-23,97.42
T10491,C1090,2023-03-08,32.95
T10492,C1090,2024-04-03,89.37
T10493,C1090,2023-12-02,0.55
T10494,C1091,2022-07-09,179.17
T10495,C1092,2024-05-14,41.38
T10496,C1092,2022-12-07,57.72
T10497,C1092,2023-12-05,71.88
T10498,C1092,2022-12-29,4.54
T10499,C1093,2024-02-16,169.65
T10500,C1093,2024-03-27,95.99
T10501,C1093,2024-05-05,75.84
T10502,C1093,2023-07-25,70.81
T10503,C1093,2022-02-10,3.01
T10504,C1093,2023-12-05,121.15
T10505,C1093,2023-10-21,59.89
T10506,C1093,2022-05-07,32.12
T10507,C1093,2022-01-01,49.41
T10508,C1094,2022-11-28,213.93
T10509,C1094,2022-04-19,93.63
T10510,C1094,2022-08-28,35.2
T10511,C1095,2022-04-13,307.98
T10512,C1095,2023-03-29,0.16
T10513,C1095,2024-05-08,0.21
T10514,C1095,2023-11-01,29.79
T10515,C1095,2023-12-28,4.14
T10516,C1095,2024-05-01,116.02
T10517,C1095,2022-11-20,48.42
T10518,C1095,2023-10-01,108.67
T10519,C1095,2023-04-30,12.9
T10520,C1095,2023-02-16,79.76
T10521,C1096,2024-01-07,51.79
T10522,C1097,2023-10-17,138.57
T10523,C1097,2024-02-09,110.43
T10524,C1097,2022-04-15,103.97
T10525,C1098,2024-04-22,91.3
T10526,C1098,2022-07-29,14.95
T10527,C1098,2023-12-14,94.82
T10528,C1099,2022-03-25,101.58
T10529,C1099,2023-09-21,232.74
T10530,C1099,2023-11-09,176.62
T10531,C1100,2022-09-15,1.18
T10532,C1100,2022-09-25,34.96
T10533,C1100,2024-04-12,8.82
T10534,C1100,2022-12-23,13.13
T10535,C1100,2022-02-18,24.34
T10536,C1100,2022-10-06,169.68
T10537,C1100,2022-10-21,186.82
T10538,C1100,2023-03-14,190.95
T10539,C1101,2023-09-03,8.08
T10540,C1101,2022-03-14,36.57
T10541,C1101,2023-09-26,89.23
T10542,C1101,2022-12-30,160.14
T10543,C1102,2022-07-14,194.89
T10544,C1102,2024-04-26,142.44
T10545,C1102,2022-01-23,38.4
T10546,C1103,2024-04-04,2.78
T10547,C1103,2023-01-15,116.61
T10548,C1103,2023-11-10,71.68
T10549,C1103,2023-10-30,56.3
T10550,C1103,2022-07-15,4.58
T10551,C1103,2024-04-12,42.45
T10552,C1103,2022-05-28,41.52
T10553,C1103,2022-07-21,103.8
T10554,C1103,2023-02-23,41.64
T10555,C1103,2023-04-24,156.89
T10556,C1104,2024-03-16,187.82
T10557,C1105,2023-11-19,24.58
T10558,C1105,2022-07-23,82.03
T10559,C1105,2022-01-31,116.56
T10560,C1105,2024-05-26,357.65
T10561,C1105,2023-01-11,379.21
T10562,C1105,2023-08-02,332.47
T10563,C1105,2024-02-11,10.46
T10564,C1105,2023-03-06,3.14
T10565,C1106,2023-07-17,2.36
T10566,C1106,2024-04-06,15.91
T10567,C1106,2022-09-02,34.14
T10568,C1106,2023-04-30,180.47
T10569,C1106,2023-07-03,312.17
T10570,C1106,2024-05-18,64.25
T10571,C1106,2023-10-08,92.37
T10572,C1106,2022-07-20,413.6
T10573,C1106,2022-03-18,93.36
T10574,C1106,2023-09-30,49.34
T10575,C1107,2022-03-09,391.75
T10576,C1107,2023-05-04,80.68
T10577,C1107,2023-11-05,18.43
T10578,C1107,2024-03-31,179.37
T10579,C1107,2023-07-08,175.34
T10580,C1107,2022-04-19,21.64
T10581,C1108,2022-12-07,41.92
T10582,C1109,2022-10-27,177.6
T10583,C1109,2024-04-15,42.66
T10584,C1109,2023-08-27,87.46
T10585,C1109,2023-09-29,58.71
T10586,C1109,2022-04-21,169.69
T10587,C1110,2023-03-11,152.5
T10588,C1110,2022-04-09,212.29
T10589,C1110,2022-04-14,39.43
T10590,C1110,2023-10-26,96.93
T10591,C1111,2024-05-02,16.02
T10592,C1111,2023-06-01,64.54
T10593,C1111,2022-06-13,237.45
T10594,C1111,2022-03-05,89.9
T10595,C1111,2024-05-15,128.06
T10596,C1112,2023-10-23,136.99
T10597,C1112,2023-05-02,13.33
T10598,C1112,2022-07-03,32.26
T10599,C1112,2023-07-12,3.51
T10600,C1112,2023-08-05,16.11
T10601,C1112,2022-05-27,71.93
T10602,C1113,2024-05-13,67.71
T10603,C1113,2023-11-26,47.05
T10604,C1113,2022-04-12,73.91
T10605,C1113,2022-08-04,58.2
T10606,C1114,2023-05-14,86.1
T10607,C1114,2023-11-22,224.86
T10608,C1114,2024-01-01,52.35
T10609,C1114,2023-11-18,144.62
T10610,C1114,2024-02-11,164.29
T10611,C1114,2022-06-12,22.37
T10612,C1114,2022-11-25,6.13
T10613,C1114,2024-04-28,102.22
T10614,C1114,2024-01-07,223.58
T10615,C1115,2023-07-29,214.96
T10616,C1115,2023-03-19,3.13
T10617,C1115,2023-05-09,24.94
T10618,C1116,2023-12-21,143.8
T10619,C1116,2022-01-22,116.39
T10620,C1116,2023-11-14,205.61
T10621,C1116,2024-03-20,100.12
T10622,C1116,2022-10-04,44.43
T10623,C1116,2022-07-13,40.56
T10624,C1116,2023-07-01,23.66
T10625,C1117,2024-01-04,0.89
T10626,C1117,2022-01-19,22.4
T10627,C1117,2024-03-04,176.3
T10628,C1117,2022-11-23,0.23
T10629,C1117,2023-08-02,133.89
T10630,C1117,2022-01-25,100.21
T10631,C1117,2023-07-03,0.57
T10632,C1117,2023-10-10,146.5
T10633,C1117,2022-05-08,165.64
T10634,C1118,2023-11-07,120.41
T10635,C1119,2023-06-19,66.87
T10636,C1119,2023-01-19,116.29
T10637,C1119,2022-12-24,36.55
T10638,C1119,2023-08-07,11.77
T10639,C1119,2022-07-07,86.05
T10640,C1119,2022-10-17,0.61
T10641,C1119,2022-03-24,73.94
T10642,C1119,2023-06-12,114.49
T10643,C1120,2023-01-10,184.56
T10644,C1121,2022-07-07,15.69
T10645,C1121,2023-04-19,51.56
T10646,C1121,2022-04-21,23.71
T10647,C1121,2022-10-17,32.99
T10648,C1121,2022-08-03,264.83
T10649,C1121,2023-07-21,236.56
T10650,C1122,2023-07-19,184.66
T10651,C1122,2022-08-21,24.75
T10652,C1122,2024-02-20,92.51
T10653,C1122,2022-02-22,53.81
T10654,C1122,2022-10-08,13.12
T10655,C1122,2022-12-03,127.22
T10656,C1122,2023-06-28,59.67
T10657,C1123,2023-04-29,98.03
T10658,C1123,2023-07-18,101.36
T10659,C1123,2022-01-14,62.21
T10660,C1123,2024-05-27,172.9
T10661,C1123,2023-02-12,34.24
T10662,C1123,2022-01-30,73.43
T10663,C1123,2022-07-24,248.64
T10664,C1123,2024-02-15,31.66
T10665,C1123,2023-09-23,17.27
T10666,C1123,2022-10-17,14.37
T10667,C1124,2023-10-01,5.59
T10668,C1124,2023-12-17,51.49
T10669,C1125,2022-08-29,71.57
T10670,C1125,2022-06-03,125.54
T10671,C1125,2023-12-27,122.75
T10672,C1125,2022-12-09,87.53
T10673,C1125,2024-02-15,0.38
T10674,C1125,2022-11-21,282.09
T10675,C1125,2024-04-11,38.02
T10676,C1125,2023-10-13,175.28
T10677,C1125,2023-09-11,31.52
T10678,C1126,2023-03-04,84.82
T10679,C1126,2024-04-29,222.44
T10680,C1127,2022-06-26,47.37
T10681,C1127,2023-07-22,332.64
T10682,C1127,2023-02-25,12.33
T10683,C1128,2022-08-06,83.16
T10684,C1128,2024-04-07,100.16
T10685,C1128,2023-09-24,112.65
T10686,C1128,2022-06-24,18.27
T10687,C1128,2022-08-23,109.78
T10688,C1128,2023-06-20,143.14
T10689,C1128,2024-02-24,112.73
T10690,C1129,2023-08-29,31.33
T10691,C1129,2024-05-01,152.25
T10692,C1129,2023-10-14,753.56
T10693,C1129,2022-04-11,69.03
T10694,C1129,2024-05-20,69.39
T10695,C1129,2023-07-07,64.62
T10696,C1129,2023-05-11,23.43
T10697,C1129,2022-08-15,46.17
T10698,C1129,2023-03-31,145.92
T10699,C1130,2024-01-11,172.7
T10700,C1130,2022-01-31,127.17
T10701,C1131,2022-11-25,203.84
T10702,C1131,2024-04-01,212.16
T10703,C1131,2022-04-10,113.26
T10704,C1131,2022-06-22,3.66
T10705,C1131,2023-12-29,267.09
T10706,C1131,2024-03-14,134.17
T10707,C1131,2022-01-28,367.27
T10708,C1131,2022-05-29,114.63
T10709,C1131,2024-04-01,22.22
T10710,C1132,2023-06-17,33.88
T10711,C1132,2022-08-15,109.92
T10712,C1132,2022-02-18,11.82
T10713,C1132,2023-10-12,78.48
T10714,C1133,2023-08-09,1.48
T10715,C1133,2023-11-08,241.99
T10716,C1133,2024-02-09,1.95
T10717,C1133,2024-05-17,297.29
T10718,C1133,2023-11-06,67.9
T10719,C1134,2022-01-17,236.52
T10720,C1134,2023-06-20,129.05
T10721,C1134,2023-02-13,331.04
T10722,C1134,2022-07-07,50.69
T10723,C1134,2024-04-12,37.38
T10724,C1134,2022-06-05,31.1
T10725,C1135,2022-04-14,14.1
T10726,C1136,2023-11-24,7.95
T10727,C1136,2022-06-24,164.59
T10728,C1136,2023-11-05,20.06
T10729,C1136,2023-01-26,1.77
T10730,C1136,2023-05-16,41.83
T10731,C1136,2022-02-24,72.97
T10732,C1137,2024-04-04,46.48
T10733,C1137,2023-06-12,83.95
